Scope                         Parameter                         Meaning                                                                        Type/Units                                         Typical/Allowed Values         Formula or Mapping                                                                                                        Primary Source                                                                                                         
mvu core                      PE                                Processing Elements; parallel output lanes per cycle                           int                                                >=1                            Throughput scales with PE                                                                                                 finn/finn-rtllib/mvu/mvu.sv:37                                                                                         
mvu core                      SIMD                              Parallel input lanes (operand pairs) per cycle                                 int                                                >=1                            Throughput scales with SIMD                                                                                               finn/finn-rtllib/mvu/mvu.sv:38                                                                                         
mvu core                      WEIGHT_WIDTH                      Weight bit width                                                               int bits                                           >=2                            Constrained by DSP A path and checks                                                                                      finn/finn-rtllib/mvu/mvu.sv:39                                                                                         
mvu core                      ACTIVATION_WIDTH                  Activation bit width                                                           int bits                                           >=2                            Constrained by input width checks                                                                                         finn/finn-rtllib/mvu/mvu.sv:40                                                                                         
mvu core                      ACCU_WIDTH                        Accumulator and output width                                                   int bits                                           design-dependent               Sets accumulation/output precision                                                                                        finn/finn-rtllib/mvu/mvu.sv:41                                                                                         
mvu core                      SIGNED_ACTIVATIONS                Interpret activations as signed                                                bit/bool                                           0 or 1                         0 means unsigned activations                                                                                              finn/finn-rtllib/mvu/mvu.sv:43                                                                                         
mvu core                      NARROW_WEIGHTS                    Use narrow signed range for weights                                            bit/bool                                           0 or 1                         Affects lane packing and validity assumptions                                                                             finn/finn-rtllib/mvu/mvu.sv:44                                                                                         
mvu core                      FORCE_BEHAVIORAL                  Force behavioral implementation path                                           bit/bool                                           0 or 1                         Useful for sim/debug instead of DSP primitives                                                                            finn/finn-rtllib/mvu/mvu.sv:45                                                                                         
mvu core                      VERSION                           DSP generation selector                                                        int                                                1|2|3                          1=DSP48E1 2=DSP48E2 3=DSP58                                                                                               finn/finn-rtllib/mvu/mvu.sv:35                                                                                         
mvu core                      NUM_LANES                         Derived number of internal DSP lanes                                           int derived                                        >=1                            "NUM_LANES = (A_WIDTH==WEIGHT_WIDTH)?1:1 + (A_WIDTH - !NARROW_WEIGHTS - WEIGHT_WIDTH)/(WEIGHT_WIDTH+ACTIVATION_WIDTH-1)"  finn/finn-rtllib/mvu/mvu.sv:115                                                                                        
mvu core                      PIPELINE_DEPTH                    Derived internal valid-alignment depth                                         int cycles                                         derived                        "PIPELINE_DEPTH = 3 + clog2(SIMD) + (SIMD==1) + 1"                                                                        finn/finn-rtllib/mvu/mvu.sv:216                                                                                        
mvu_vvu_axi                   MW                                Matrix width                                                                   int                                                >=1                            must satisfy MW%SIMD==0                                                                                                   finn/finn-rtllib/mvu/mvu_vvu_axi.sv:50                                                                                 
mvu_vvu_axi                   MH                                Matrix height                                                                  int                                                >=1                            must satisfy MH%PE==0                                                                                                     finn/finn-rtllib/mvu/mvu_vvu_axi.sv:51                                                                                 
mvu_vvu_axi                   SEGMENTLEN                        DSP58 chain segmentation length                                                int                                                0..(SIMD+2)/3                  Checked for VERSION==3                                                                                                    finn/finn-rtllib/mvu/mvu_vvu_axi.sv:54                                                                                 
mvu_vvu_axi                   PUMPED_COMPUTE                    Split compute over doubled clock                                               bit/bool                                           0 or 1                         Not meaningful for SIMD==1                                                                                                finn/finn-rtllib/mvu/mvu_vvu_axi.sv:62                                                                                 
mvu_vvu_axi                   COMP_PIPELINE_DEPTH               Pipeline depth for LUT-compressor compute path                                 int cycles                                         >=1                            Used when compressor path active                                                                                          finn/finn-rtllib/mvu/mvu_vvu_axi.sv:68                                                                                 
mvu_vvu_axi                   SF                                Fold factor over width                                                         int derived                                        >=1                            "SF = MW/SIMD"                                                                                                            finn/finn-rtllib/mvu/mvu_vvu_axi.sv:145                                                                                
mvu_vvu_axi                   NF                                Fold factor over height                                                        int derived                                        >=1                            "NF = MH/PE"                                                                                                              finn/finn-rtllib/mvu/mvu_vvu_axi.sv:146                                                                                
add_multi                     N                                 Number of addends reduced by the adder tree                                    int                                                >=1                            In MVU reductions typically equals SIMD                                                                                   finn/finn-rtllib/mvu/add_multi.sv:36                                                                                   
add_multi                     DEPTH                             Requested pipeline depth for reduction                                         int cycles                                         >=0                            More DEPTH can improve timing with added latency                                                                          finn/finn-rtllib/mvu/add_multi.sv:37                                                                                   
add_multi                     ARG_WIDTH                         Bit width of each addend                                                       int bits                                           >=1                            Input vector is arg[N] with this width                                                                                    finn/finn-rtllib/mvu/add_multi.sv:38                                                                                   
add_multi                     ARG_LO                            Optional lower bound for argument values                                       int                                                design-dependent               Used for tighter sumwidth estimation                                                                                      finn/finn-rtllib/mvu/add_multi.sv:39                                                                                   
add_multi                     ARG_HI                            Optional upper bound for argument values                                       int                                                design-dependent               Used for tighter sumwidth estimation                                                                                      finn/finn-rtllib/mvu/add_multi.sv:40                                                                                   
add_multi                     RESET_ZERO                        Reset pipeline regs to zero instead of x                                       bit/bool                                           0 or 1                         Impacts reset behavior in tree/delay regs                                                                                 finn/finn-rtllib/mvu/add_multi.sv:41                                                                                   
